epoch,train_loss,val_loss,train_mae,val_mae,train_dir_acc,val_dir_acc
1,0.005000082240605864,0.0007928545065219008,0.05105233192443848,0.036959998309612274,0.5374597311019897,0.4256484806537628
2,0.0015582326017042252,0.0005674259884105097,0.026588400825858116,0.03150021284818649,0.544305682182312,0.43365931510925293
3,0.0010040210311812548,0.0005787686668776498,0.025898689404129982,0.02791868895292282,0.5435928702354431,0.44742682576179504
4,0.0007942957035716937,0.00039258931348111405,0.025498460978269577,0.0249400082975626,0.551025390625,0.44603967666625977
5,0.0006234592432074977,0.00034158427866056774,0.025374142453074455,0.023336544632911682,0.5471792221069336,0.4632057249546051
6,0.0005355236346431001,0.0003163378673274315,0.02533692866563797,0.02211644873023033,0.5371924042701721,0.4698987305164337
7,0.0004456340948866297,0.0002687883865767873,0.02510899491608143,0.021331829950213432,0.5407935976982117,0.47981688380241394
8,0.0004366105238283761,0.0003626619011119572,0.024898706004023552,0.021170588210225105,0.5354623794555664,0.49837008118629456
9,0.00040363797200796336,0.0002554195101697234,0.02490575797855854,0.020450599491596222,0.5388333797454834,0.5045429468154907
10,0.00040737916556184345,0.0002317468435060209,0.02479059062898159,0.02010105736553669,0.5362420082092285,0.5216396450996399
11,0.0003732097919042415,0.00021539048666736945,0.02471688762307167,0.01970772072672844,0.5350614190101624,0.5277777910232544
12,0.0003209809585016236,0.0002958298496065141,0.02465113438665867,0.01971985213458538,0.5339476466178894,0.5310722589492798
13,0.0003078258388900837,0.00023320026165938562,0.024548130109906197,0.01952742598950863,0.5371701121330261,0.5409557223320007
14,0.00028899368713402484,0.00020735638113032244,0.024510065093636513,0.019345415756106377,0.5394793748855591,0.5579831004142761
15,0.0002821053241501159,0.0001999032603530123,0.02442193403840065,0.019305329769849777,0.5435482859611511,0.5588153600692749
16,0.0002681439102481403,0.00018995601735625673,0.02434016391634941,0.019284574314951897,0.5478771328926086,0.5585725903511047
17,0.0002613343676154194,0.0001824053491905467,0.02428697980940342,0.01921301707625389,0.5486938953399658,0.5701900124549866
18,0.0002469854379763258,0.00020303438088049733,0.024245306849479675,0.019221093505620956,0.5508917570114136,0.5688722133636475
19,0.00024056757405875755,0.00018933131616071712,0.024204330518841743,0.019206563010811806,0.5523841977119446,0.5695311427116394
20,0.00023791245563110797,0.00018521426927348383,0.02414812706410885,0.019182873889803886,0.5551389455795288,0.5771604776382446
21,0.0002335409531662399,0.00017223509546727983,0.02410043217241764,0.019183386117219925,0.5572699308395386,0.5786863565444946
22,0.00022938870427460987,0.00016657234238599854,0.024070747196674347,0.0191673431545496,0.5586435794830322,0.5809057950973511
23,0.00022900788516599192,0.00016198515003756995,0.024019936099648476,0.019172407686710358,0.5607225894927979,0.5799694657325745
24,0.00022950778477322993,0.0001584103936455321,0.024000026285648346,0.019161107018589973,0.5616507530212402,0.5812872648239136
25,0.0002281519808490934,0.0001579166265822473,0.023958725854754448,0.0191582590341568,0.5628981590270996,0.5822235941886902
26,0.00022145372619074362,0.0001576267199310831,0.0239334125071764,0.019156627357006073,0.5660092830657959,0.5830559134483337
27,0.00021900381996001368,0.0001579440885952883,0.023895686492323875,0.019154556095600128,0.5676725506782532,0.5833680033683777
28,0.0002165488255393554,0.0001583960054998486,0.023877540603280067,0.019151268526911736,0.568712055683136,0.5845471024513245
29,0.00021386900387546825,0.00015940100327179303,0.02385372668504715,0.01915086805820465,0.5695436596870422,0.5840269327163696
30,0.0002114415122829484,0.0001597772899364732,0.02384128049015999,0.019151685759425163,0.5701079368591309,0.5840962529182434
