epoch,train_loss,val_loss,train_mae,val_mae,train_dir_acc,val_dir_acc
1,0.003715336868214237,0.002207289329537441,0.05624564364552498,0.026469741016626358,0.5020211935043335,0.5508207678794861
2,0.0015297868174039908,0.0027614816639641533,0.028663374483585358,0.024885891005396843,0.5079988241195679,0.5384254455566406
3,0.0012031055384545443,0.001671970754598902,0.024429982528090477,0.02670990861952305,0.5100343823432922,0.554304838180542
4,0.0007839331908002384,0.0016511536132461943,0.02195930667221546,0.02474687062203884,0.5166140794754028,0.5609380006790161
5,0.000817729979807897,0.0018649473976026464,0.02124973013997078,0.025644155219197273,0.5201978087425232,0.5567169189453125
6,0.0007125121273362444,0.001809508098724622,0.02073124796152115,0.02436785213649273,0.5232798457145691,0.55718594789505
7,0.0005826453209361098,0.001070158660998762,0.020296981558203697,0.02591617964208126,0.5339305996894836,0.5573869347572327
8,0.0006559493684241524,0.0009402863968747795,0.02025635354220867,0.024147355929017067,0.5318950414657593,0.5574539303779602
9,0.0004898703665860196,0.0014859446174442484,0.02016609162092209,0.02403341978788376,0.5362241864204407,0.5565829277038574
10,0.0005059996446749594,0.0027859220514136157,0.02043093740940094,0.02367791347205639,0.5334862470626831,0.5569849014282227
11,0.00046732301613718253,0.0006413770689139975,0.019923537969589233,0.023839076980948448,0.5387471318244934,0.5572529435157776
12,0.0003930991069514383,0.0007254944645173342,0.019867034628987312,0.024011218920350075,0.5386037826538086,0.5574539303779602
13,0.00037983442903919865,0.0014516399130046081,0.019816260784864426,0.02679361030459404,0.5413130521774292,0.5573199391365051
14,0.00041760389262973825,0.0005711659930375778,0.01967535726726055,0.023787299171090126,0.5435063242912292,0.5574539303779602
15,0.00031011276214735724,0.0008915118588548568,0.019597265869379044,0.02420879155397415,0.5503727197647095,0.5571189522743225
16,0.0003161329874332496,0.0006760578470807831,0.01954009011387825,0.023205813020467758,0.5485665202140808,0.5575209259986877
17,0.00029166232037106067,0.0007304093271516797,0.019481850787997246,0.023200450465083122,0.5575687885284424,0.5569849014282227
18,0.00028525947570807325,0.0012316461272084236,0.019428638741374016,0.023328563198447227,0.5618405938148499,0.5576549172401428
19,0.0002478658665378643,0.00082061475773233,0.019385041669011116,0.023105697706341743,0.5633314251899719,0.55718594789505
20,0.00023374741940893027,0.0009440005490969036,0.01932692900300026,0.023186812177300453,0.5682339668273926,0.5567169189453125
21,0.00022505166022769317,0.0008494703035513596,0.019269628450274467,0.02306983806192875,0.5723193883895874,0.5567169189453125
22,0.0002602116588972121,0.000989025154362585,0.019213251769542694,0.02314518578350544,0.5768778920173645,0.5554438829421997
23,0.0002092983184569959,0.0007090194946310172,0.019166145473718643,0.02309994399547577,0.5796874761581421,0.5557118654251099
24,0.00019789404726857314,0.0010867553559147094,0.019123820587992668,0.023129088804125786,0.5824254751205444,0.5555778741836548
25,0.0002067452564239721,0.0008127075557434796,0.019101347774267197,0.02305278368294239,0.5825688242912292,0.5557789206504822
26,0.00018425578204345867,0.0009983865591058354,0.019060153514146805,0.023064466193318367,0.5830275416374207,0.5557118654251099
27,0.00017916049712458107,0.0008170448486025557,0.019036944955587387,0.023061463609337807,0.582812488079071,0.5554438829421997
28,0.00018887830032652162,0.000725344962866541,0.01901969499886036,0.02304876782000065,0.5845040082931519,0.5556448698043823
29,0.000179199678203477,0.0007471328760876865,0.01900453306734562,0.023043431341648102,0.5857798457145691,0.5557789206504822
30,0.0001780090185068254,0.0007580759529057695,0.018989495933055878,0.02304471842944622,0.5874283313751221,0.5555778741836548
